POSTCODE;LAT;LON
1785;52,9379895;4,7742455
1786;52,9178291;4,7879275
1787;52,8973305;4,7453313
1788;52,8906515;4,7426876
1789;52,9518431;4,7276038
1791;53,0571470;4,7968982
1792;53,0406744;4,8471523
1793;53,0775082;4,8270616
1794;53,0900942;4,8782683
1795;53,1443720;4,8499794
1796;53,0914677;4,7669551
1797;53,0265150;4,7631275
1811;52,6311612;4,7488017
1812;52,6140681;4,7603482
1813;52,6201169;4,7535722
1814;52,6231399;4,7437481
1815;52,6319264;4,7369228
1816;52,6324425;4,7248712
1817;52,6432533;4,7351299
1821;52,6283825;4,7628025
1822;52,6539265;4,7779468
1823;52,6352799;4,7620781
1824;52,6448491;4,7559115
1825;52,6571304;4,7527040
1826;52,6569540;4,7645834
1827;52,6691947;4,7654204
1829;52,6335554;4,7767759
1831;52,6739529;4,7545595
1832;52,6862340;4,7413159
1834;52,6603926;4,7867318
1841;52,6146872;4,8224813
1842;52,6352303;4,8410189
1843;52,5846454;4,8481820
1844;52,5833567;4,8132742
1846;52,5805203;4,7822081
1847;52,6036341;4,7862613
1851;52,5991239;4,7125320
1852;52,6026706;4,6943165
1853;52,5917551;4,6998486
1861;52,6674509;4,7011742
1862;52,6711326;4,7145293
1865;52,6625022;4,6338891
1871;52,7096749;4,6944259
1873;52,7233773;4,6689806
1901;52,5538131;4,6645076
1902;52,5494932;4,6798498
1906;52,5722337;4,6950458
1911;52,5277434;4,7096937
1921;52,5619597;4,7334015
1931;52,6186909;4,6266133
1934;52,6237469;4,6577990
1935;52,5965666;4,6560935
1941;52,4837307;4,6585550
1942;52,4828523;4,6507557
1943;52,4881502;4,6471630
1944;52,4928138;4,6533555
1945;52,4969469;4,6633391
1946;52,4924270;4,6758545
1947;52,4862212;4,6652214
1948;52,4823270;4,6786541
1949;52,4938531;4,5960871
1951;52,4733809;4,6421796
1961;52,5115940;4,6714345
1962;52,5127007;4,6777982
1963;52,5180500;4,6864524
1964;52,5091043;4,6646971
1965;52,5026507;4,6682962
1966;52,4971940;4,6812719
1967;52,4989912;4,6933655
1968;52,5238207;4,6595028
1969;52,5104945;4,6446308
1971;52,4583470;4,6257184
1972;52,4593552;4,6126041
1973;52,4560715;4,6016254
1974;52,4500480;4,5928025
1975;52,4624590;4,5960739
1976;52,4578633;4,5801193
1981;52,4571459;4,6534145
1985;52,4469572;4,6382174
1991;52,4341620;4,6599398
1992;52,4284113;4,6679607
2011;52,3814309;4,6363717
2012;52,3712108;4,6300269
2013;52,3827200;4,6247292
2014;52,3739903;4,6155562
2015;52,3818981;4,6098062
2019;52,3805305;4,6362205
2021;52,3929690;4,6436910
2022;52,4021736;4,6501873
2023;52,3970649;4,6339439
2024;52,4064624;4,6400766
2025;52,4140732;4,6503665
2026;52,4187553;4,6539364
2031;52,3901363;4,6580037
2032;52,3789686;4,6530422
2033;52,3757389;4,6573187
2034;52,3613498;4,6462801
2035;52,3648268;4,6600406
2036;52,3515839;4,6519891
2037;52,3560993;4,6621508
2041;52,3790926;4,5416361
2042;52,3713363;4,5331351
2051;52,3923735;4,6128117
